Country_Name,Country Code,Time,Time Code,Inflation ,Exports_of_goods_and _services,Foreign_net_inflows ,Foreign_net outflows ,Gross_capital_formation,Imports_of_goods_and_services,Industry_value_added,Manufacturing_value_added
China,CHN,2006,YR2006,1.46607832,36.03502555,4.508579016,0.869587667,40.93327269,28.44385835,47.55856667,32.45232806
China,CHN,2007,YR2007,4.767210585,35.38817873,4.398685695,0.482936916,41.46315155,26.71643833,46.8610339,32.36658269
China,CHN,2008,YR2008,5.843024243,32.51957332,3.730468946,1.234008992,43.26637446,24.93329888,46.93247802,32.09217588
China,CHN,2009,YR2009,-0.700630985,24.45665122,2.564740561,0.858911623,46.44130408,20.14877647,45.88377306,31.54522277
China,CHN,2010,YR2010,3.325774987,26.26741407,3.994731929,0.949962376,47.61226023,22.6218853,46.39605425,31.54309082
China,CHN,2011,YR2011,5.410918114,26.49432272,3.698517372,0.63942287,47.68586754,24.10550867,46.4006848,31.97564254
China,CHN,2012,YR2012,2.643051771,25.40819583,2.817738858,0.758869546,47.23453111,22.699663,45.273502,31.42428488
China,CHN,2013,YR2013,2.62808601,24.50498149,3.028225603,0.759541737,47.38775199,22.06025329,44.0081519,30.55346604
China,CHN,2014,YR2014,2.000344887,23.49505827,2.557600305,1.174634453,47.00771662,21.38150201,43.10295577,30.37704711
China,CHN,2015,YR2015,1.437024514,21.34807161,2.191564801,1.576104307,45.40088041,18.10499392,40.93163605,29.37660333
China,CHN,2016,YR2016,2,19.65837757,1.56151998,1.933916583,44.26358088,17.37543911,39.88078035,28.81834033
France,FRA,2006,YR2006,1.68372645,27.93505509,3.404896104,5.622479201,23.23771164,28.16836936,19.28408447,11.7271803
France,FRA,2007,YR2007,1.488073528,27.85325751,3.152963433,4.976831036,24.1648123,28.56749907,19.13673919,11.62968228
France,FRA,2008,YR2008,2.813915043,28.11938486,2.330029924,4.658529724,24.12988486,29.27769803,18.81383069,11.10455837
France,FRA,2009,YR2009,0.088084169,24.83554721,0.683222197,3.29424831,21.33315982,25.62690364,18.30484264,10.58989208
France,FRA,2010,YR2010,1.529639382,26.78829984,1.472026946,2.746673578,21.9462945,28.07949124,17.84573563,10.32712554
France,FRA,2011,YR2011,2.117486809,28.42133748,1.544405384,2.252753884,23.22090937,30.36923895,17.97816621,10.395998
France,FRA,2012,YR2012,1.9556855,29.20302719,1.227742161,1.938725909,22.62663227,30.49903198,17.86855062,10.36157533
France,FRA,2013,YR2013,0.86360693,29.36473787,1.12374195,0.626618613,22.28719307,30.39931721,17.97180129,10.35434248
France,FRA,2014,YR2014,0.507700673,29.6666845,0.203690144,1.861137106,22.70983107,30.81211202,17.74593967,10.280426
France,FRA,2015,YR2015,0.037803733,30.59262238,1.8014589,1.715054836,22.71232406,31.15907156,17.67969171,10.43366363
France,FRA,2016,YR2016,0.183334861,30.15546306,1.436341497,2.611857553,22.68577849,30.97343227,17.56387959,10.31097099
Canada,CAN,2006,YR2006,2.002025395,35.32934774,4.888360937,3.828495483,23.66494729,32.65183718,..,..
Canada,CAN,2007,YR2007,2.138383993,34.15316625,8.220132909,4.446256103,23.97059609,32.03887814,29.07535404,12.24836864
Canada,CAN,2008,YR2008,2.370270674,34.32313544,4.526210919,5.724775737,24.1324611,32.60109515,29.72001721,10.94279649
